Word,Tag,Response
disillusioned,CONFUSED,
unbelieving,CONFUSED,
skeptical,CONFUSED,
distrustful,CONFUSED,
misgiving,CONFUSED,
lost,CONFUSED,
unsure,CONFUSED,
uneasy,CONFUSED,
pessimistic,CONFUSED,
tense,CONFUSED,
incapable,HELPLESS,
alone,HELPLESS,
paralyzed,HELPLESS,
fatigued,HELPLESS,
useless,HELPLESS,
inferior,HELPLESS,
vulnerable,HELPLESS,
empty,HELPLESS,
forced,HELPLESS,
hesitant,HELPLESS,
despair,HELPLESS,
frustrated,HELPLESS,
distressed,HELPLESS,
woeful,HELPLESS,
pathetic,HELPLESS,
tragic,HELPLESS,
in a stew,HELPLESS,
dominated,HELPLESS,
insensitive,INDIFFERENT,
dull,INDIFFERENT,
nonchalant,INDIFFERENT,
neutral,INDIFFERENT,
reserved,INDIFFERENT,
weary,INDIFFERENT,
bored,INDIFFERENT,
preoccupied,INDIFFERENT,
cold,INDIFFERENT,
disinterested,INDIFFERENT,
lifeless,INDIFFERENT,
fearful,AFRAID,
terrified,AFRAID,
suspicious,AFRAID,
anxious,AFRAID,
alarmed,AFRAID,
panic,AFRAID,
nervous,AFRAID,
scared,AFRAID,
worried,AFRAID,
frightened,AFRAID,
timid,AFRAID,
shaky,AFRAID,
restless,AFRAID,
doubtful,AFRAID,
threatened,AFRAID,
cowardly,AFRAID,
quaking,AFRAID,
menaced,AFRAID,
wary,AFRAID,
crushed,HURT,
tormented,HURT,
deprived,HURT,
pained,HURT,
tortured,HURT,
dejected,HURT,
rejected,HURT,
injured,HURT,
offended,HURT,
afflicted,HURT,
aching,HURT,
victimized,HURT,
heartbroken,HURT,
agonized,HURT,
appalled,HURT,
humiliated,HURT,
wronged,HURT,
alienated,HURT,
tearful,SAD,
sorrowful,SAD,
pained,SAD,
grief,SAD,
anguish,SAD,
desolate,SAD,
desperate,SAD,
pessimistic,SAD,
unhappy,SAD,
lonely,SAD,
grieved,SAD,
mournful,SAD,
dismayed,SAD,
Annoyed ,# Soft Anger and Apathy,
Apathetic ,# Soft Anger and Apathy,
Bored ,# Soft Anger and Apathy,
Certain ,# Soft Anger and Apathy,
Cold ,# Soft Anger and Apathy,
Crabby ,# Soft Anger and Apathy,
Cranky ,# Soft Anger and Apathy,
Critical ,# Soft Anger and Apathy,
Cross ,# Soft Anger and Apathy,
Detached ,# Soft Anger and Apathy,
Displeased ,# Soft Anger and Apathy,
Frustrated ,# Soft Anger and Apathy,
Impatient ,# Soft Anger and Apathy,
Indifferent ,# Soft Anger and Apathy,
Irritated ,# Soft Anger and Apathy,
Peeved ,# Soft Anger and Apathy,
Rankled,# Soft Anger and Apathy,
Affronted ,# Medium (or Mood-State) Anger,
Aggravated ,# Medium (or Mood-State) Anger,
Angry ,# Medium (or Mood-State) Anger,
Antagonized ,# Medium (or Mood-State) Anger,
Arrogant ,# Medium (or Mood-State) Anger,
Bristling ,# Medium (or Mood-State) Anger,
Exasperated ,# Medium (or Mood-State) Anger,
Incensed ,# Medium (or Mood-State) Anger,
Indignant ,# Medium (or Mood-State) Anger,
Inflamed ,# Medium (or Mood-State) Anger,
Mad ,# Medium (or Mood-State) Anger,
Offended ,# Medium (or Mood-State) Anger,
Resentful ,# Medium (or Mood-State) Anger,
Riled up ,# Medium (or Mood-State) Anger,
Sarcastic,# Medium (or Mood-State) Anger,
Aggressive ,# Intense Anger and Hatred,
Appalled ,# Intense Anger and Hatred,
Belligerent ,# Intense Anger and Hatred,
Bitter ,# Intense Anger and Hatred,
Contemptuous ,# Intense Anger and Hatred,
Disgusted ,# Intense Anger and Hatred,
Furious ,# Intense Anger and Hatred,
Hateful ,# Intense Anger and Hatred,
Hostile ,# Intense Anger and Hatred,
Irate ,# Intense Anger and Hatred,
Livid ,# Intense Anger and Hatred,
Menacing ,# Intense Anger and Hatred,
Outraged ,# Intense Anger and Hatred,
Ranting ,# Intense Anger and Hatred,
Raving ,# Intense Anger and Hatred,
Seething ,# Intense Anger and Hatred,
Spiteful ,# Intense Anger and Hatred,
Vengeful ,# Intense Anger and Hatred,
Vicious ,# Intense Anger and Hatred,
Vindictive ,# Intense Anger and Hatred,
Violent,# Intense Anger and Hatred,
Abashed ,# Soft Shame and Guilt,
Awkward ,# Soft Shame and Guilt,
Discomfited ,# Soft Shame and Guilt,
Flushed ,# Soft Shame and Guilt,
Flustered ,# Soft Shame and Guilt,
Hesitant ,# Soft Shame and Guilt,
Humble ,# Soft Shame and Guilt,
Reticent ,# Soft Shame and Guilt,
Self-conscious ,# Soft Shame and Guilt,
Speechless ,# Soft Shame and Guilt,
Withdrawn,# Soft Shame and Guilt,
Ashamed ,# Soft Shame and Guilt,
Chagrined ,# Soft Shame and Guilt,
Contrite ,# Soft Shame and Guilt,
Culpable ,# Soft Shame and Guilt,
Embarrassed ,# Soft Shame and Guilt,
Guilty ,# Soft Shame and Guilt,
Humbled ,# Soft Shame and Guilt,
Intimidated ,# Soft Shame and Guilt,
Penitent ,# Soft Shame and Guilt,
Regretful ,# Soft Shame and Guilt,
Remorseful ,# Soft Shame and Guilt,
Reproachful ,# Soft Shame and Guilt,
Rueful ,# Soft Shame and Guilt,
Sheepish,# Soft Shame and Guilt,
Ashamed ,# Medium (or Mood-State) Shame and Guilt,
Chagrined ,# Medium (or Mood-State) Shame and Guilt,
Contrite ,# Medium (or Mood-State) Shame and Guilt,
Culpable ,# Medium (or Mood-State) Shame and Guilt,
Embarrassed ,# Medium (or Mood-State) Shame and Guilt,
Guilty ,# Medium (or Mood-State) Shame and Guilt,
Humbled ,# Medium (or Mood-State) Shame and Guilt,
Intimidated ,# Medium (or Mood-State) Shame and Guilt,
Penitent ,# Medium (or Mood-State) Shame and Guilt,
Regretful ,# Medium (or Mood-State) Shame and Guilt,
Remorseful ,# Medium (or Mood-State) Shame and Guilt,
Reproachful ,# Medium (or Mood-State) Shame and Guilt,
Rueful ,# Medium (or Mood-State) Shame and Guilt,
Sheepish,# Medium (or Mood-State) Shame and Guilt,
Belittled ,# Intense Shame and Guilt,
Degraded ,# Intense Shame and Guilt,
Demeaned ,# Intense Shame and Guilt,
Disgraced ,# Intense Shame and Guilt,
Guilt-ridden ,# Intense Shame and Guilt,
Guilt-stricken ,# Intense Shame and Guilt,
Humiliated ,# Intense Shame and Guilt,
Mortified ,# Intense Shame and Guilt,
Ostracized ,# Intense Shame and Guilt,
Self-condemning ,# Intense Shame and Guilt,
Self-flagellating ,# Intense Shame and Guilt,
Shamefaced ,# Intense Shame and Guilt,
Stigmatized,# Intense Shame and Guilt,
Alert ,# Soft Fear and Anxiety,
Apprehensive ,# Soft Fear and Anxiety,
Cautious ,# Soft Fear and Anxiety,
Concerned ,# Soft Fear and Anxiety,
Confused ,# Soft Fear and Anxiety,
Curious ,# Soft Fear and Anxiety,
Disconcerted ,# Soft Fear and Anxiety,
Disoriented ,# Soft Fear and Anxiety,
Disquieted ,# Soft Fear and Anxiety,
Doubtful ,# Soft Fear and Anxiety,
Edgy ,# Soft Fear and Anxiety,
Fidgety ,# Soft Fear and Anxiety,
Hesitant ,# Soft Fear and Anxiety,
